project_name,project_type,pct_complete,project_budget,project_start,construction_start,project_completion,project_page,project_budget_error_flag,project_status
Constitution Road @ Forrest Park Road,Traffic Signals,0.02,2e5,2016-04-01,2017-12-01,2018-11-01,http://renewatlantabond.com/project/constitution-road-forrest-park-road-2/,FALSE,In Process
Continental Colony Elementary School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/continental-colony-elementary-school/,FALSE,Completed
Coretta Scott King Young Women’s Academy Middle School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/coretta-scott-king-middle-school/,FALSE,Completed
Courtland Street Bridge,Bridges,0.01,2e6,2015-09-01,2017-07-01,2019-02-01,http://renewatlantabond.com/project/courtland-street/,FALSE,In Process
Decatur Street,Roadways,,,,,,http://renewatlantabond.com/project/decatur-street/,TRUE,Not Started
Decode / Recode,Public Art Program,,1e5,2015-03-01,2017-03-01,2017-07-01,http://renewatlantabond.com/project/decode-recode/,FALSE,Not Started
Defoors Ferry Road,Roadways,,249790.0,2016-04-01,2018-01-01,2018-03-01,http://renewatlantabond.com/project/defoors-ferry-2/,FALSE,Not Started
DeKalb Avenue/Decatur Street (TCC),Traffic Signals,,2064933.0,2016-02-01,2018-03-01,2019-02-01,http://renewatlantabond.com/project/dekalb-avedecatur-street-2/,FALSE,Not Started
Dekalb Avenue,Traffic Signals,0.12,1502090.0,2016-03-01,2018-03-01,2019-06-01,http://renewatlantabond.com/project/dekalb-avenue-2/,FALSE,In Process
DeKalb Avenue Complete Street Project,Complete Streets,,4575429.0,2016-02-01,2018-03-01,2019-02-01,http://renewatlantabond.com/project/dekalb-avenue-3/,FALSE,Not Started
DeKalb Avenue @ Rockyford Road & DeKalb Place,Traffic Signals,0.12,2e5,2016-03-01,2018-03-01,2019-06-01,http://renewatlantabond.com/project/dekalb-avenue-rockyford-road-dekalb-place-2/,FALSE,In Process
DeKalb Avenue,Roadways,,1799160.0,2016-03-01,2018-04-01,2019-06-01,http://renewatlantabond.com/project/dekalb-avenue/,FALSE,Not Started
Delaware Avenue Pedestrian Improvements,ADA and Sidewalks,,5e4,2017-04-01,2017-05-01,2017-07-01,http://renewatlantabond.com/project/delaware-avenue/,FALSE,Not Started
Delmar Lane,Roadways,1.0,330060.0,2016-04-01,2016-04-01,2017-02-01,http://renewatlantabond.com/project/delmar-lane/,FALSE,Completed
Derry Avenue,Roadways,1.0,75140.0,2015-09-01,2015-06-01,2017-02-01,http://renewatlantabond.com/project/derry-avenue/,FALSE,Completed
Dial’s The Bridge,,,,,,,http://renewatlantabond.com/project/dials-the-bridge/,TRUE,Not Started
Dill Avenue,Roadways,0.99,345900.0,2015-10-01,2015-10-01,2016-07-01,http://renewatlantabond.com/project/dill-avenue/,FALSE,In Process
Downtown Neighborhood Improvements,Roadways,,5e5,2017-02-01,2017-09-01,2018-04-01,http://renewatlantabond.com/project/downtown-neighborhood-improvements/,FALSE,Not Started
DPW Service Building- Fleet Services (Claire Drive),Public Buildings,,1e6,2015-11-01,2016-09-01,2017-07-01,http://renewatlantabond.com/project/dpw-service-building-fleet-services-clair-drive/,FALSE,Not Started
DPW Service Building- Sanitation Services (Claire Drive),Public Buildings,,6e5,2015-11-01,2016-09-01,2017-09-01,http://renewatlantabond.com/project/dpw-service-building-sanitation-claire-drive/,FALSE,Not Started
DPW Service Building – Sanitation Services (North Avenue),Public Buildings,,,,,,http://renewatlantabond.com/project/dpw-service-building-sanitation-services-claire-drive/,TRUE,Not Started
DPW Service Building- Administration (North Avenue),Public Buildings,,5e5,2016-08-01,2017-05-01,2018-07-01,http://renewatlantabond.com/project/dpw-shopgarageoffice-north-ave/,FALSE,Not Started
DPW Warehouse/Office- Transportation (Claire Drive),Public Buildings,,8e5,2015-11-01,2016-09-01,2017-07-01,http://renewatlantabond.com/project/dpw-warehouseoffice-transportation-clair-drive/,FALSE,Not Started
Dunbar Neighborhood Center,Parks and Recreation,,101900.0,2017-11-01,2015-11-01,2017-05-01,http://renewatlantabond.com/project/dunbar-neighborhood-center/,FALSE,Not Started
East Andrews Drive,Roadways,1.0,269660.0,2016-03-01,2016-04-01,2017-02-01,http://renewatlantabond.com/project/east-andrews-drive/,FALSE,Completed
East Cleveland Avenue,Roadways,,,,,,http://renewatlantabond.com/project/east-cleveland-avenue/,TRUE,Not Started
Childress Drive,Roadways,,,,,,http://renewatlantabond.com/project/east-court-drive/,TRUE,Not Started
East Lake Blvd,Roadways,,352900.0,2016-07-01,2016-07-01,2017-11-01,http://renewatlantabond.com/project/east-lake-blvd/,FALSE,Not Started
East Morningside Drive,Roadways,,,,,,http://renewatlantabond.com/project/east-morningside-drive/,TRUE,Not Started
East Paces Ferry Road Complete Street Project,Complete Streets,,1404241.0,2015-09-01,2017-01-01,2017-10-01,http://renewatlantabond.com/project/east-paces-ferry-rd/,FALSE,Not Started
Roxboro Road,,0.01,598068.93,2016-06-01,2016-06-01,2016-10-01,http://renewatlantabond.com/project/east-roxboro-road/,FALSE,In Process
Edgewood Avenue Sidewalk Improvements,ADA and Sidewalks,,3e5,2017-04-01,2017-10-01,2018-06-01,http://renewatlantabond.com/project/edgewood-avenue/,FALSE,Not Started
Ellsworth Industrial Boulevard,Roadways,,,,,,http://renewatlantabond.com/project/ellsworth-industrial-boulevard/,TRUE,Not Started
Elmtree Drive,Roadways,1.0,38720.75,2015-06-01,2015-08-01,2017-02-01,http://renewatlantabond.com/project/elmtree-drive/,FALSE,Completed
Eloise Street,Roadways,,,,,,http://renewatlantabond.com/project/eloise-street/,TRUE,Not Started
Emerald Court,Roadways,1.0,31585.0,2015-06-01,2015-08-01,2016-12-01,http://renewatlantabond.com/project/emerald-court/,FALSE,Completed
Emerging,Public Art Program,,3e4,2015-03-01,2015-03-01,2017-03-01,http://renewatlantabond.com/project/emerging/,FALSE,Not Started
Empire Boulevard,Roadways,,679839.11,,,,http://renewatlantabond.com/project/empire-boulevard/,FALSE,Not Started
Empire Way,Roadways,,,,,,http://renewatlantabond.com/project/empire-way/,TRUE,Not Started
English Park Recreation Center,Parks and Recreation,,19e4,2016-06-01,2016-06-01,2017-08-01,http://renewatlantabond.com/project/english-park-rec-center/,FALSE,Not Started
Eskine Memorial,,,,,,,http://renewatlantabond.com/project/eskine-memorial/,TRUE,Not Started
Evolution,Public Art Program,0.8,4500.0,2015-03-01,2015-03-01,2017-03-01,http://renewatlantabond.com/project/evolution/,FALSE,In Process
Ex-Static,Public Art Program,,3e4,2015-03-01,2015-03-01,2017-10-01,http://renewatlantabond.com/project/ex-static/,FALSE,Not Started
